run_id,harness,architecture_family,component,valid,invalid,total,valid_rate,invalid_rate
deterministic_n25_2026_05_03,deterministic_baseline,clinical_nlp_baseline,seizure_frequency,25,0,25,1.0,0.0
exect_lite_n25_2026_05_03,exect_lite_cleanroom_baseline,clinical_nlp_baseline,seizure_frequency,25,0,25,1.0,0.0
exect_v2_external_pending_n25_2026_05_03,exect_v2_external_baseline,clinical_nlp_baseline,seizure_frequency,0,25,25,0.0,1.0
exect_v2_external_gold_seeded_n25_2026_05_03,exect_v2_external_baseline,clinical_nlp_baseline,seizure_frequency,25,0,25,1.0,0.0
single_prompt_anchor_n1_gold_seeded_2026_05_03,single_prompt_anchor,direct_llm,seizure_frequency,1,0,1,1.0,0.0
retrieval_anchor_n1_gold_seeded_2026_05_03,retrieval_anchor,retrieval_field_pipeline,seizure_frequency,1,0,1,1.0,0.0
multi_agent_anchor_n1_gold_seeded_2026_05_03,multi_agent_anchor,clines_inspired_modular,seizure_frequency,1,0,1,1.0,0.0
multi_agent_anchor_sc3_n1_gold_seeded_2026_05_03,multi_agent_anchor_sc3,costed_reliability_variant,seizure_frequency,1,0,1,1.0,0.0
multi_agent_anchor_sc5_n1_gold_seeded_2026_05_03,multi_agent_anchor_sc5,costed_reliability_variant,seizure_frequency,1,0,1,1.0,0.0
direct_full_contract_n25_gold_seeded_2026_05_03,direct_full_contract,direct_llm,current_medications,25,0,25,1.0,0.0
direct_full_contract_n25_gold_seeded_2026_05_03,direct_full_contract,direct_llm,epilepsy_classification,25,0,25,1.0,0.0
direct_full_contract_n25_gold_seeded_2026_05_03,direct_full_contract,direct_llm,final_output,25,0,25,1.0,0.0
direct_full_contract_n25_gold_seeded_2026_05_03,direct_full_contract,direct_llm,investigations,25,0,25,1.0,0.0
direct_full_contract_n25_gold_seeded_2026_05_03,direct_full_contract,direct_llm,seizure_classification,25,0,25,1.0,0.0
direct_full_contract_n25_gold_seeded_2026_05_03,direct_full_contract,direct_llm,seizure_frequency,25,0,25,1.0,0.0
direct_evidence_contract_n25_gold_seeded_2026_05_03,direct_evidence_contract,direct_llm,current_medications,25,0,25,1.0,0.0
direct_evidence_contract_n25_gold_seeded_2026_05_03,direct_evidence_contract,direct_llm,epilepsy_classification,25,0,25,1.0,0.0
direct_evidence_contract_n25_gold_seeded_2026_05_03,direct_evidence_contract,direct_llm,final_output,25,0,25,1.0,0.0
direct_evidence_contract_n25_gold_seeded_2026_05_03,direct_evidence_contract,direct_llm,investigations,25,0,25,1.0,0.0
direct_evidence_contract_n25_gold_seeded_2026_05_03,direct_evidence_contract,direct_llm,seizure_classification,25,0,25,1.0,0.0
direct_evidence_contract_n25_gold_seeded_2026_05_03,direct_evidence_contract,direct_llm,seizure_frequency,25,0,25,1.0,0.0
retrieval_field_extractors_n25_gold_seeded_2026_05_03,retrieval_field_extractors,retrieval_field_pipeline,current_medications,25,0,25,1.0,0.0
retrieval_field_extractors_n25_gold_seeded_2026_05_03,retrieval_field_extractors,retrieval_field_pipeline,epilepsy_classification,25,0,25,1.0,0.0
retrieval_field_extractors_n25_gold_seeded_2026_05_03,retrieval_field_extractors,retrieval_field_pipeline,investigations,25,0,25,1.0,0.0
retrieval_field_extractors_n25_gold_seeded_2026_05_03,retrieval_field_extractors,retrieval_field_pipeline,seizure_classification,25,0,25,1.0,0.0
retrieval_field_extractors_n25_gold_seeded_2026_05_03,retrieval_field_extractors,retrieval_field_pipeline,seizure_frequency,25,0,25,1.0,0.0
clines_epilepsy_modular_n25_gold_seeded_2026_05_03,clines_epilepsy_modular,clines_inspired_modular,current_medications,25,0,25,1.0,0.0
clines_epilepsy_modular_n25_gold_seeded_2026_05_03,clines_epilepsy_modular,clines_inspired_modular,epilepsy_classification,25,0,25,1.0,0.0
clines_epilepsy_modular_n25_gold_seeded_2026_05_03,clines_epilepsy_modular,clines_inspired_modular,investigations,25,0,25,1.0,0.0
clines_epilepsy_modular_n25_gold_seeded_2026_05_03,clines_epilepsy_modular,clines_inspired_modular,seizure_classification,25,0,25,1.0,0.0
clines_epilepsy_modular_n25_gold_seeded_2026_05_03,clines_epilepsy_modular,clines_inspired_modular,seizure_frequency,25,0,25,1.0,0.0
clines_epilepsy_verified_n25_gold_seeded_2026_05_03,clines_epilepsy_verified,clines_inspired_modular,current_medications,25,0,25,1.0,0.0
clines_epilepsy_verified_n25_gold_seeded_2026_05_03,clines_epilepsy_verified,clines_inspired_modular,epilepsy_classification,25,0,25,1.0,0.0
clines_epilepsy_verified_n25_gold_seeded_2026_05_03,clines_epilepsy_verified,clines_inspired_modular,investigations,25,0,25,1.0,0.0
clines_epilepsy_verified_n25_gold_seeded_2026_05_03,clines_epilepsy_verified,clines_inspired_modular,seizure_classification,25,0,25,1.0,0.0
clines_epilepsy_verified_n25_gold_seeded_2026_05_03,clines_epilepsy_verified,clines_inspired_modular,seizure_frequency,25,0,25,1.0,0.0
clines_epilepsy_verified_n25_gold_seeded_2026_05_03,clines_epilepsy_verified,clines_inspired_modular,verification,25,0,25,1.0,0.0
